서울시 전체,"38,204","80,636",160,83,"38,284","80,213",158,79,"37,002","77,089",158,79
종로구,"22,324","58,734",64,129,"20,743","53,547",64,99,"19,869","50,045",64,99
청운효자동,"13,092","24,766",54,29,"13,195","24,233",52,44,"13,551","24,113",52,44
사직동,"27,081","113,924",79,585,"23,823","98,642",81,410,"22,475","91,908",81,410
삼청동,"5,059","17,029",20,29,"4,419","15,506",20,42,"4,184","14,904",20,42
부암동,"3,853","21,802",46,14,"4,767","26,355",45,19,"4,692","26,119",45,19
평창동,"1,445","7,105",22,3,"1,492","6,533",22,28,"1,493","6,796",22,28
무악동,"36,682","78,440",181,19,"36,209","78,460",179,13,"36,031","77,233",179,13
교남동,"63,905","96,368",299,120,"68,690","97,538",297,30,"65,798","87,102",297,30
가회동,"18,829","68,635",79,391,"16,602","62,118",78,208,"14,588","56,376",78,208
종로1.2.3.4가동,"26,930","134,354",30,591,"23,083","116,188",30,401,"19,435","98,405",30,401
종로5.6가동,"70,725","175,871",88,328,"62,804","150,109",87,260,"61,437","141,274",87,260
이화동,"42,223","163,654",108,235,"40,793","152,739",105,58,"36,830","143,730",105,58
혜화동,"65,668","130,588",146,43,"59,496","117,122",145,65,"56,870","110,998",145,65
창신1동,"117,350","207,828",186,100,"91,486","156,067",176,44,"88,657","152,031",176,44
창신2동,"186,196","189,444",343,25,"186,047","190,382",333,13,"189,881","188,923",333,13
창신3동,"51,872","94,328",329,21,"54,271","104,715",330,14,"56,666","110,239",330,14
숭인1동,"106,464","172,849",233,29,"97,882","162,487",261,19,"100,455","169,193",261,19
숭인2동,"145,507","219,742",290,80,"134,282","206,253",263,54,"126,361","187,066",263,54
중구,"51,026","138,137",120,531,"48,398","127,066",125,336,"44,917","115,706",125,336
소공동,"26,225","162,542",12,"1,489","21,610","133,101",22,845,"19,063","117,491",22,845
회현동,"33,237","157,872",50,844,"28,764","138,865",58,646,"24,472","117,230",58,646
명동,"48,088","198,054",29,"1,686","40,347","166,710",28,733,"32,387","133,444",28,733
필동,"13,854","44,407",28,167,"10,523","33,166",28,119,"9,425","30,182",28,119
장충동,"16,230","47,421",46,94,"15,104","42,057",46,103,"13,873","39,007",46,103
광희동,"43,275","153,885",66,531,"42,112","145,755",66,571,"39,994","134,748",66,571
을지로동,"59,441","152,923",28,480,"55,818","143,409",29,259,"51,093","130,938",29,259
신당동,"112,677","235,915",135,267,"106,590","215,018",140,60,"98,415","197,960",140,60
다산동,"78,991","155,276",275,147,"75,600","152,480",270,123,"71,719","145,606",270,123
약수동,"39,697","146,228",349,60,"50,626","165,196",344,347,"46,824","148,656",344,347
청구동,"120,812","184,632",425,84,"114,310","174,523",415,90,"116,682","181,802",415,90
신당5동,"101,567","172,444",290,65,"102,772","176,246",286,29,"96,078","170,012",286,29
동화동,"84,231","147,870",344,85,"87,345","164,848",340,46,"81,204","154,655",340,46
황학동,"163,965","200,059",378,98,"162,871","204,993",383,52,"159,208","205,843",383,52
중림동,"45,293","95,000",163,157,"44,641","89,494",260,89,"44,165","92,023",260,89
용산구,"26,858","59,384",106,83,"27,337","58,795",106,83,"25,994","56,004",106,83
후암동,"40,144","80,019",210,39,"40,492","81,440",207,27,"39,958","80,090",207,27
용산2가동,"15,588","20,790",51,17,"17,035","22,434",51,9,"17,170","22,671",51,9
남영동,"26,919","91,226",106,443,"23,818","77,520",106,269,"22,563","70,029",106,269
청파동,"80,524","153,646",234,94,"79,732","149,202",229,71,"71,577","133,285",229,71
원효로1동,"75,630","148,841",240,291,"85,333","174,889",269,78,"83,786","172,781",269,78
원효로2동,"32,019","67,791",163,58,"35,230","73,767",159,51,"34,432","71,027",159,51
효창동,"75,140","103,036",194,40,"75,584","102,849",187,35,"79,542","108,880",187,35
용문동,"110,604","181,242",451,37,"97,055","163,472",437,93,"96,567","160,562",437,93
한강로동,"14,800","60,306",46,212,"13,691","52,070",51,139,"14,921","54,637",51,139
이촌1동,"26,778","50,599",129,10,"28,065","51,289",132,51,"25,714","49,251",132,51
이촌2동,"10,607","14,962",75,4,"12,636","17,302",75,24,"10,079","14,217",75,24
이태원1동,"41,181","112,607",119,101,"34,834","96,472",117,225,"30,404","87,824",117,225
이태원2동,"36,136","67,187",108,30,"36,442","68,719",106,14,"32,858","63,315",106,14
한남동,"16,067","45,759",64,51,"18,013","50,223",65,131,"15,407","42,418",65,131
서빙고동,"6,134","22,449",61,21,"6,317","21,463",60,67,"6,104","21,051",60,67
보광동,"39,166","61,161",170,11,"39,523","61,701",160,12,"37,200","58,659",160,12
성동구,"40,256","93,352",186,116,"41,003","95,220",182,49,"39,264","91,044",182,49
왕십리2동,"110,524","182,550",466,34,"131,282","222,357",458,33,"118,279","200,001",458,33
왕십리도선동,"60,148","150,545",374,116,"69,813","171,436",378,83,"65,178","186,097",378,83
마장동,"46,431","109,127",216,107,"41,767","100,148",216,71,"39,486","95,724",216,71
사근동,"21,269","76,812",99,68,"22,758","73,916",99,22,"21,202","68,615",99,22
행당1동,"102,168","255,117",313,111,"88,186","212,339",286,42,"66,563","150,884",286,42
행당2동,"77,545","189,232",547,22,"83,894","219,663",538,6,"84,955","219,674",538,6
응봉동,"56,060","123,760",298,8,"55,550","112,753",295,31,"52,706","103,128",295,31
금호1가동,"90,928","173,051",364,22,"85,038","165,420",359,52,"87,807","172,549",359,52
금호2.3가동,"100,382","175,066",380,20,"94,996","171,887",376,11,"89,963","155,169",376,11
금호4가동,"20,676","43,861",161,11,"23,689","50,257",158,14,"24,261","51,701",158,14
옥수동,"26,358","104,357",222,18,"24,128","98,735",219,39,"24,247","104,221",219,39
성수1가1동,"12,689","30,954",75,36,"12,660","30,497",75,16,"12,674","30,611",75,16
성수1가2동,"48,942","90,592",155,181,"54,567","99,503",144,63,"53,296","95,924",144,63
성수2가1동,"40,179","83,512",156,383,"40,632","84,012",152,89,"40,514","81,434",152,89
성수2가3동,"42,904","132,579",106,481,"49,612","162,533",108,227,"46,958","145,184",108,227
송정동,"47,910","72,957",193,32,"50,066","77,205",187,21,"48,784","75,144",187,21
용답동,"13,176","29,187",63,117,"12,129","26,491",52,20,"13,421","28,256",52,20
광진구,"55,066","101,513",201,46,"53,780","97,706",198,46,"51,931","94,371",198,46
화양동,"86,333","172,671",191,55,"82,992","159,716",194,24,"73,717","140,154",194,24
군자동,"76,808","131,969",268,95,"73,904","129,541",269,32,"74,522","136,908",269,32
중곡1동,"65,809","135,048",268,68,"70,203","142,682",274,91,"67,788","135,103",274,91
중곡2동,"90,246","174,248",410,74,"93,943","175,021",404,52,"87,923","162,956",404,52
중곡3동,"91,459","138,296",292,40,"85,083","133,365",284,25,"81,471","131,847",284,25
중곡4동,"37,360","59,699",135,11,"33,605","54,585",130,22,"32,846","53,480",130,22
능동,"17,952","63,880",105,31,"18,571","65,606",105,21,"17,991","64,606",105,21
광장동,"24,249","58,803",121,30,"23,133","55,632",124,58,"21,154","52,881",124,58
자양1동,"144,481","235,198",373,160,"142,168","227,383",370,199,"132,833","210,371",370,199
자양2동,"32,566","63,651",167,31,"31,588","57,961",162,31,"30,514","54,710",162,31
자양3동,"73,044","105,368",270,27,"78,665","111,747",264,29,"73,885","105,568",264,29
자양4동,"62,925","100,119",187,25,"62,739","93,078",152,11,"61,512","91,402",152,11
구의1동,"128,270","218,447",407,82,"112,938","193,517",401,66,"140,826","223,046",401,66
구의2동,"47,652","81,380",185,25,"51,971","89,684",202,31,"42,356","75,326",202,31
구의3동,"47,121","106,235",210,97,"42,176","94,679",205,89,"45,162","101,044",205,89
동대문구,"69,846","121,000",237,65,"69,151","118,394",235,55,"66,321","113,663",235,55
용신동,"73,884","131,370",190,178,"74,952","131,459",191,150,"73,403","126,381",191,150
제기동,"90,278","150,823",207,52,"76,268","128,375",210,46,"75,851","128,377",210,46
