서울시 전체,116984 ,132986 ,99721 ,120854 ,135148 ,106287 ,122330 ,140868 ,104182 
종로구,183435 ,217272 ,152261 ,175410 ,214855 ,142856 ,165901 ,198296 ,136242 
청운효자동,116275 ,137481 ,73863 ,140431 ,165848 ,95374 ,141792 ,162329 ,93692 
사직동,144271 ,177492 ,124438 ,123849 ,177228 ,105939 ,139286 ,196087 ,109826 
삼청동,217925 ,197561 ,279017 ,144577 ,171226 ,57970 ,164600 ,190705 ,101202 
부암동,84454 ,99955 ,67402 ,97942 ,107264 ,69977 ,91972 ,100727 ,83748 
평창동,80597 ,104008 ,62694 ,86219 ,86046 ,86429 ,85478 ,83877 ,87198 
무악동,,,,,,110482 ,,178853 ,
교남동,,175245 ,,185020 ,246999 ,114186 ,204374 ,208333 ,200830 
가회동,128907 ,134200 ,111263 ,149372 ,168159 ,108040 ,145273 ,162415 ,107237 
종로1.2.3.4가동,197742 ,271591 ,115139 ,195669 ,259583 ,130183 ,182121 ,237498 ,118528 
종로5.6가동,267288 ,256823 ,271035 ,244219 ,271717 ,233048 ,237920 ,235456 ,238996 
이화동,140800 ,171984 ,106906 ,141017 ,186631 ,82159 ,111163 ,145571 ,78302 
혜화동,144025 ,168065 ,99644 ,133861 ,156568 ,95007 ,120120 ,153779 ,81579 
창신1동,150015 ,213700 ,111804 ,153195 ,204978 ,116642 ,164536 ,198710 ,129709 
창신2동,65582 ,80859 ,42157 ,78774 ,91336 ,62389 ,81269 ,91197 ,69876 
창신3동,83491 ,97691 ,75603 ,,,94049 ,79201 ,88457 ,67961 
숭인1동,89192 ,133994 ,57831 ,89406 ,103351 ,75462 ,72795 ,94190 ,57950 
숭인2동,105563 ,128987 ,71806 ,83098 ,120490 ,57131 ,90457 ,119287 ,65491 
중구,214273 ,219231 ,211449 ,242109 ,245466 ,240567 ,230151 ,242787 ,223571 
소공동,127180 ,165063 ,108529 ,148413 ,237841 ,118886 ,141407 ,185538 ,124221 
회현동,312220 ,373569 ,273402 ,334934 ,380702 ,309730 ,328055 ,385567 ,291373 
명동,145377 ,191617 ,130844 ,164878 ,229724 ,141351 ,154989 ,234919 ,126280 
필동,90298 ,136662 ,69468 ,108463 ,160609 ,81017 ,117750 ,160806 ,90894 
장충동,76147 ,69092 ,82320 ,96931 ,109530 ,80455 ,102854 ,126051 ,80195 
광희동,162380 ,182133 ,149599 ,205134 ,219236 ,197649 ,192270 ,196507 ,189992 
을지로동,132485 ,187634 ,77336 ,126933 ,180007 ,84791 ,138041 ,185740 ,101748 
신당동,373967 ,288216 ,390557 ,383781 ,377840 ,384826 ,385017 ,338025 ,395550 
다산동,90328 ,123624 ,50021 ,100823 ,114196 ,90459 ,93904 ,114577 ,77321 
약수동,102442 ,149303 ,75664 ,124358 ,185654 ,65513 ,120300 ,186985 ,84311 
청구동,108251 ,113554 ,105024 ,74831 ,71725 ,75633 ,97823 ,105314 ,93645 
신당5동,108487 ,143454 ,78662 ,127688 ,116037 ,136485 ,95159 ,121291 ,72619 
동화동,85331 ,108339 ,66748 ,107937 ,126664 ,97637 ,88511 ,113770 ,74516 
황학동,137487 ,152311 ,96310 ,116414 ,130424 ,90455 ,140864 ,161232 ,111029 
중림동,118592 ,152902 ,73562 ,108977 ,135830 ,86420 ,126686 ,126278 ,127342 
용산구,113739 ,134626 ,93586 ,113361 ,133054 ,92311 ,120687 ,139914 ,98521 
후암동,93158 ,111138 ,51203 ,96904 ,114071 ,59860 ,85881 ,104994 ,60397 
용산2가동,88216 ,92842 ,63547 ,97672 ,110562 ,51969 ,100445 ,95232 ,116082 
남영동,86701 ,108323 ,58527 ,97202 ,116594 ,61400 ,99435 ,122851 ,67424 
청파동,85548 ,103724 ,60958 ,106408 ,143751 ,66867 ,106577 ,131455 ,66341 
원효로1동,81357 ,106763 ,54428 ,86236 ,101088 ,66929 ,93720 ,109998 ,72687 
원효로2동,79316 ,81935 ,77832 ,79910 ,91145 ,67143 ,101699 ,115312 ,89447 
효창동,86354 ,104362 ,63436 ,107029 ,138258 ,71339 ,154267 ,132602 ,175931 
용문동,,136015 ,,112134 ,119493 ,71663 ,111629 ,122521 ,89348 
한강로동,117510 ,148130 ,104575 ,109072 ,138682 ,96820 ,121312 ,141527 ,108175 
이촌1동,243200 ,300984 ,202410 ,167346 ,276639 ,96067 ,208054 ,276618 ,133775 
이촌2동,,,,,73394 ,,71952 ,70685 ,76386 
이태원1동,193764 ,230505 ,148321 ,176321 ,200018 ,144053 ,172655 ,198455 ,142163 
이태원2동,148413 ,191382 ,105444 ,126550 ,137777 ,112866 ,147116 ,174699 ,105052 
한남동,111230 ,122788 ,102510 ,123994 ,145118 ,104895 ,111590 ,134048 ,89594 
서빙고동,107058 ,131155 ,61875 ,77375 ,73081 ,85350 ,62689 ,66526 ,57509 
보광동,82423 ,95243 ,62483 ,91398 ,98935 ,76795 ,98081 ,120834 ,56369 
성동구,106527 ,122685 ,89189 ,98700 ,117770 ,80425 ,109351 ,127521 ,91543 
왕십리2동,80865 ,109410 ,52321 ,86250 ,109989 ,56384 ,106028 ,125886 ,85087 
왕십리도선동,122832 ,146234 ,97264 ,116712 ,132878 ,99835 ,106182 ,118471 ,92181 
마장동,112938 ,121371 ,98770 ,98021 ,117459 ,55906 ,109467 ,134532 ,66637 
사근동,141264 ,137744 ,147247 ,109998 ,139450 ,74235 ,143626 ,172290 ,101253 
행당1동,174981 ,173800 ,176377 ,148787 ,139883 ,157268 ,120895 ,132661 ,104062 
행당2동,117247 ,154958 ,88238 ,108733 ,167266 ,81905 ,105628 ,114068 ,100218 
응봉동,,127135 ,,80609 ,92137 ,71963 ,115799 ,143012 ,89946 
금호1가동,122505 ,163240 ,89917 ,89649 ,117966 ,66995 ,104240 ,107876 ,101109 
금호2.3가동,104632 ,120814 ,73348 ,118722 ,136080 ,80535 ,110092 ,133647 ,72315 
금호4가동,90457 ,102596 ,74271 ,97391 ,123297 ,73103 ,102816 ,116755 ,87017 
옥수동,120876 ,161951 ,81445 ,126698 ,157397 ,109477 ,139450 ,180605 ,113320 
성수1가1동,84046 ,96824 ,66669 ,90799 ,114907 ,67717 ,94636 ,106692 ,84729 
성수1가2동,101782 ,139305 ,64917 ,102709 ,124328 ,85812 ,112156 ,131013 ,92816 
성수2가1동,70577 ,83615 ,56503 ,67677 ,81475 ,49885 ,96440 ,113153 ,80470 
성수2가3동,106817 ,107947 ,106144 ,94165 ,113871 ,83302 ,113514 ,118568 ,110490 
송정동,75278 ,86274 ,49619 ,78516 ,92046 ,54356 ,82635 ,91740 ,73530 
용답동,90116 ,126667 ,48997 ,78561 ,107836 ,54164 ,86936 ,123897 ,58957 
광진구,95331 ,112690 ,71668 ,101953 ,121978 ,75504 ,98927 ,119912 ,70922 
화양동,126628 ,159344 ,82812 ,133492 ,165353 ,86557 ,132484 ,165538 ,89485 
군자동,83494 ,101852 ,50974 ,94472 ,110347 ,64657 ,92775 ,110668 ,54338 
