서울시 전체,"99,270","120,802","74,269","103,349","122,453","82,536","114,948","131,016","96,707"
종로구,"150,722","200,560","104,146","165,705","207,788","132,489","184,919","217,763","155,681"
청운효자동,"113,601","132,093","69,222","155,690","177,434","94,413","141,019","164,110","67,128"
사직동,"133,002","201,949","98,528","111,742","147,000","90,092","129,373","167,097","107,891"
삼청동,,"242,939",,,"190,759",,"164,427","208,176","98,802"
부암동,"91,410","107,941","51,264","84,414","99,467","48,285","85,040","122,674","52,781"
평창동,"60,341","96,809","46,666","68,909","88,664","54,421","99,594","119,944","81,506"
무악동,,,,,,,"132,977","198,995","53,755"
교남동,,,"63,829",,,"62,944",,"242,573",
가회동,"134,212","170,226","62,185","124,523","143,968","68,966","143,504","164,337","101,838"
종로1.2.3.4가동,"166,119","225,870","94,887","170,692","255,062","100,324","188,843","257,637","107,868"
종로5.6가동,"213,824","248,738","196,500","254,588","260,380","251,432","280,836","268,372","286,055"
이화동,"98,771","166,604","58,870","111,794","163,477","76,013","120,599","159,491","90,349"
혜화동,"113,324","154,515","73,848","114,708","152,953","79,296","110,850","145,130","69,905"
창신1동,"150,977","203,256","79,093","134,683","177,392","105,792","160,921","217,289","117,706"
창신2동,"88,272","132,620","39,891","74,946","107,358","53,338","85,142","99,798","41,174"
창신3동,,"93,467",,,,"217,396","163,951","60,596","219,604"
숭인1동,"88,017","152,305","53,731","114,506","103,705","121,706","104,981","162,780","51,629"
숭인2동,"102,331","160,987","52,054","87,051","125,576","53,663","112,278","169,559","57,791"
중구,"197,701","210,788","189,982","204,852","211,113","201,543","218,632","226,474","214,025"
소공동,"147,569","195,086","111,521","135,581","199,671","95,995","140,939","174,598","120,415"
회현동,"376,253","435,758","350,535","356,525","387,094","344,581","325,999","407,360","270,673"
명동,"150,123","259,834","111,909","145,395","221,096","117,007","152,482","257,171","120,470"
필동,"95,165","154,342","62,887","92,836","122,670","73,918","85,981","144,004","53,746"
장충동,"66,486","76,234","56,738","85,766","117,495","69,902","94,910","114,009","81,019"
광희동,"197,061","218,051","185,867","179,950","202,934","171,244","187,924","192,973","185,377"
을지로동,"115,164","169,623","62,177","132,534","212,422","74,941","137,964","194,498","78,583"
신당동,"307,743","240,723","326,556","310,198","248,832","326,783","398,531","309,730","418,483"
다산동,"87,859","132,577","46,867","74,017","89,120","60,353","96,499","119,705","71,843"
약수동,"178,256","217,695","150,649","78,717","107,483","40,362","97,300","134,293","74,179"
청구동,,"99,206",,"74,990","95,526","51,888","85,180","102,387","73,035"
신당5동,"77,935","102,092","42,797","99,371","110,171","91,142","104,444","117,768","92,735"
동화동,"78,378","103,593","47,759","83,327","98,558","65,753","82,018","123,579","58,928"
황학동,"93,040","116,964","54,762","169,604","198,224","65,855","123,390","150,841","63,912"
중림동,"69,122","70,186","67,738","123,410","133,338","103,554","110,493","118,396","95,741"
용산구,"102,830","123,629","80,236","107,547","126,327","85,263","111,753","131,007","93,847"
후암동,"90,827","107,790","46,300","95,573","116,170","59,997","87,119","111,420","54,718"
용산2가동,"60,565","63,882","50,613","87,462","83,485","101,664","99,587","161,005","55,718"
남영동,"89,058","98,762","74,712","88,807","103,507","67,369","79,928","82,880","74,679"
청파동,"85,424","115,284","52,051","98,922","131,394","51,568","105,799","134,785","69,141"
원효로1동,"101,677","116,726","85,471","94,782","114,926","67,588","95,778","117,538","62,763"
원효로2동,"89,927","107,587","71,286","83,935","122,321","62,756","92,311","121,424","76,784"
효창동,"100,962","124,215","62,206",,"174,417",,,"117,136",
용문동,"69,703","82,186","41,170","82,667","99,014","49,972","77,647","99,375","47,227"
한강로동,"93,923","119,140","80,766","98,357","113,950","87,220","97,116","118,262","86,771"
이촌1동,"257,852","353,058","150,747","206,646","256,989","147,914","181,413","205,671","159,579"
이촌2동,,,,,"69,968",,"107,514","114,490","99,142"
이태원1동,"158,823","186,468","118,419","169,505","211,322","121,538","160,372","170,469","150,535"
이태원2동,"111,802","136,902","85,134","153,467","169,317","137,618","162,265","223,485","104,446"
한남동,"107,498","123,742","87,334","116,686","132,098","98,928","139,562","145,660","134,051"
서빙고동,"98,774","83,475","117,132",,"57,559",,"85,097","104,008","63,484"
보광동,"85,873","96,763","67,723","72,183","80,610","48,109","74,301","83,757","48,032"
성동구,"85,047","106,611","61,376","89,828","116,051","62,849","106,564","127,410","80,459"
왕십리2동,"66,980","75,795","63,202","93,144","131,902","45,773","96,128","152,790","49,466"
왕십리도선동,"90,376","114,087","70,617","94,939","128,553","61,324","125,368","143,919","97,078"
마장동,"92,945","116,941","43,540","94,690","96,221","92,116","112,238","144,439","47,835"
사근동,"122,023","130,734","106,235","138,465","161,819","89,161","182,379","220,038","80,703"
행당1동,"159,278","138,576","187,744","119,584","107,706","140,369","177,854","147,385","209,542"
행당2동,,,,,,"80,836","134,413","178,269","74,111"
응봉동,,,"89,235",,"100,406",,"80,479","115,223","49,210"
금호1가동,"64,965","78,979","55,623","126,501","168,134","77,928","106,578","127,078","73,265"
금호2.3가동,"96,035","138,180","46,867","119,120","151,242","54,876","120,790","133,141","80,650"
금호4가동,,"152,902",,,"83,076",,"127,271","145,570","110,497"
옥수동,"110,647","138,519","95,978","95,401","139,500","73,351","108,937","179,785","59,652"
성수1가1동,"67,304","103,983","30,625","63,607","75,338","51,877","79,089","85,677","67,560"
성수1가2동,"79,711","101,577","50,348","82,557","103,580","52,682","84,861","100,504","66,337"
성수2가1동,"66,455","84,037","40,758","79,152","92,871","62,795","88,863","100,453","69,271"
성수2가3동,"65,360","92,701","48,651","72,450","111,884","54,142","98,269","115,673","85,527"
송정동,,"82,828",,"93,857","135,507","31,381","76,508","83,328","56,048"
용답동,"76,942","90,737","58,065","78,016","111,863","38,880","75,159","96,397","58,514"
광진구,"89,832","104,467","68,355","91,875","112,814","64,634","93,435","112,757","65,119"
화양동,"114,875","146,868","69,047","134,629","173,036","94,478","132,076","157,434","96,662"
군자동,"94,617","119,153","46,773","72,291","99,769","47,561","89,776","116,399","50,867"
중곡1동,"61,125","72,204","47,994","77,813","87,261","58,360","78,923","95,257","33,186"
중곡2동,"66,923","75,801","44,991","71,544","96,867","38,987","70,438","90,535","42,425"
중곡3동,"60,963","72,749","38,130","64,458","73,472","36,290","74,840","90,458","44,256"
중곡4동,"92,136","87,565","99,396","84,152","110,938","38,950","75,506","96,940","38,761"
능동,"79,209","90,533","60,336","85,407","104,995","61,900","91,016","110,033","69,887"
광장동,"85,857","111,138","63,104","91,269","98,110","86,871","88,757","108,887","66,710"
자양1동,"87,677","102,406","52,155","103,210","123,267","74,378","91,643","96,644","80,051"
자양2동,"81,178","105,750","37,301","69,047","86,403","39,439","89,459","101,430","59,180"
자양3동,"90,186","94,116","76,430","96,296","111,330","72,419","109,342","117,479","95,005"
자양4동,"103,458","123,830","53,206","107,677","141,802","49,178","101,466","124,843","55,578"
구의1동,"83,134","102,635","44,884","76,852","93,761","50,613","96,027","115,087","64,605"
구의2동,"80,571","108,642","30,043","83,429","106,539","43,812","90,356","116,089","54,553"
구의3동,"115,705","131,548","110,357","106,595","143,335","91,082","85,975","120,127","71,639"
